{'docnum': 1, 'title': 'experimental investigation of the aerodynamics of awing in a slipstream .'}
{'docnum': 635, 'title': 'heat transfer and pressure distributions on a hemisphere-cylinder and abluff-afterbody modelin methane-air combustion products and in air'}
{'docnum': 636, 'title': 'pressure distribution induced on a flat plate at a free-streammach number of 1.39 by rockets exhausting upstream and downstream .'}
{'docnum': 637, 'title': 'an integral equation relating the general time-dependent lift anddownwash distributions on finite wings in subsonic flow .'}
{'docnum': 638, 'title': 'longitudinal aerodynamic characteristics at low subsonicspeeds of a highly swept wing utilizing nose deflectionfor control .'}
{'docnum': 639, 'title': 'analytical study of the tumbling motions of vehiclesentering planetary atmospheres .'}
{'docnum': 640, 'title': 'the design of structures to resist jet noise fatigue .'}
{'docnum': 641, 'title': 'reduction of the clamped plate to two membrane problemswith an application to uniformly loaded sectors .'}
{'docnum': 642, 'title': 'the buckling strength of a uniform circular cylinderloaded in axial compression .'}
{'docnum': 643, 'title': 'an investigation of wing-aileron flutter using groundlaunched rocket models .'}
{'docnum': 644, 'title': 'a study of the cantilever square plate subjected toa uniform loading .'}
{'docnum': 645, 'title': 'thermodynamic coupling in boundary layers .'}
{'docnum': 646, 'title': 'thermal diffusion effects on energy transfer in a turbulentboundary layer with helium injection'}
{'docnum': 647, 'title': 'bending of a uniformly loaded rectangular plate withtwo adjacent edges and the others either simply supportedor free .'}
{'docnum': 648, 'title': 'the approximate analysis of certain boundary valueproblems .'}
{'docnum': 649, 'title': 'the hovercraft - a new concept in maritime transport .'}
{'docnum': 650, 'title': 'some design problems of hovercraft .'}
{'docnum': 651, 'title': 'heat transfer to separated and reattached subsonicturbulen flows obtained downstream of a surface step .'}
{'docnum': 652, 'title': 'pressure distribution on two dimensional wings nearthe ground .'}
{'docnum': 653, 'title': 'transient magnetohydrodynamic duct flow .'}
{'docnum': 654, 'title': 'on the propagation and structure of the blast wave . part 1.'}
{'docnum': 655, 'title': 'effects of boundary layer displacement and leading edge bluntness onpressure distribution, skin friction, and heat transfer of bodies athypersonic speeds .'}
{'docnum': 656, 'title': 'departure from dissociation equilibrium in a hypersonic nozzle .'}
{'docnum': 657, 'title': 'interferometric studies of supersonic flows about truncatedcones .'}
{'docnum': 658, 'title': 'review of panel flutter and effects of aerodynamic noisepart i..  panel flutter .'}
{'docnum': 659, 'title': 'nonuniform shear flow past cylinders .'}
{'docnum': 660, 'title': 'the fundamental solution for small steady three dimensionaldisturbances to a two dimensional parallel shear flow .'}
{'docnum': 661, 'title': 'summary of laminar boundary layer solutions for wedgetypeflow over convection and transpiration cooledsurfaces .'}
{'docnum': 662, 'title': 'theoretical and experimental investigation of aerodynamicheatingand isothermal heat transfer parameters ona hemisphere nose with laminar boundary layer at supersonicmach numbers .'}
{'docnum': 663, 'title': 'viscous flow along a flat plate moving at high speeds .'}
{'docnum': 664, 'title': 'the boundary layer on a flat plate in a stream withuniform shear .'}
{'docnum': 665, 'title': 'on the theory of hypersonic gas flow with a power lawshock wave .'}
{'docnum': 666, 'title': 'blunt body heat transfer at hypersonic speed and low reynolds numbers .'}
{'docnum': 667, 'title': 'hypersonic shock layer theory of the stagnation region at low reynoldsnumber .'}
{'docnum': 668, 'title': 'measurements of stagnation point heat transfer at lowreynolds number .'}
{'docnum': 669, 'title': 'subsonic potential flow past a sphere inside a cylindrical duct .'}
{'docnum': 670, 'title': 'on blunt-body heat transfer at hypersonic speed and low reynoldsnumber .'}
{'docnum': 671, 'title': 'pressure and boundary-layer measurements on a two dimensional wing atlow speed .'}
{'docnum': 672, 'title': 'tunnel interference effects .'}
{'docnum': 673, 'title': 'investigation of full scale split trailing edge wingflaps with various chords and hinge locations .'}
{'docnum': 674, 'title': 'the shapes and lift-dependent drags on some sweptbackwings designed for m= 1. 2.'}
{'docnum': 675, 'title': 'pressure distribution and surface flow on 5( and 9( thick wings withcurved tip and 60degree sweepback .'}
{'docnum': 676, 'title': 'a simple method for calculating the span and chordwise loading onstraight and swept wings of any aspect ratio at subsonic speeds .'}
{'docnum': 677, 'title': 'methods for calculating the lift distribution of wings /subsonic liftingsurface theory/ .'}
{'docnum': 678, 'title': 'the effect of end plates on swept wings .'}
{'docnum': 679, 'title': 'low speed tests on 45 sweptback wings .'}
{'docnum': 680, 'title': 'generalized conical flow fields in supersonic wing theory .'}
{'docnum': 681, 'title': 'integrals and integral equations in linearized wing theory .'}
{'docnum': 682, 'title': 'the lift of twisted and cambered wings in supersonic flow .'}
{'docnum': 683, 'title': 'the use of conical camber to produce flow attachment at the leadingedge of a delta wing and to minimize the lift-dependent drag at sonicand supersonic speeds .'}
{'docnum': 684, 'title': 'tables of complete elliptic integrals .'}
{'docnum': 685, 'title': 'aerodynamic effects of some configuration variableson the aeroelastic characteristics of lifting surfacesat mach numbers from 0. 7 to 6. 86 .'}
{'docnum': 686, 'title': 'flutter tests of some simple models at a mach numberof 7. 2 in helium flow .'}
{'docnum': 687, 'title': 'oscillating airfoils at high mach number .'}
{'docnum': 688, 'title': 'tables of aerodynamic coefficients obtained from developed newtonianexpressions for complete and partial conic and spheric bodies at combinedangles of attack and sideslip with some comparisons with hypersonicexperimental data .'}
{'docnum': 689, 'title': 'investigation of the laminar aerodynamics heat transfercharacteristics of a hemisphere cylinder in the langley11-inch hypersonic tunnel at a mach number of 6. 8.'}
{'docnum': 690, 'title': 'investigaion of the flow over a spiked-nose hemispherecylinder at a mach number of 6. 8.'}
{'docnum': 691, 'title': 'calculation procedure for thermodynamic transport, and flow propertiesof the combustion products of a hydrocarbon fuel mixture burned in airwith results for ethylene-air and methane-air mixtures .'}
{'docnum': 692, 'title': 'investigation of the jet effects on a flat surface downstream of theexit of a simulated turbojet nacelle at a free-stream mach number of2.02 .'}
{'docnum': 693, 'title': 'investigation of jet effects on a flat surface downstream of the exit of a simulated turbojet nacelle at a free-stream mach number of 1.39 .'}
{'docnum': 694, 'title': 'pressure distribution induced on a flat plate by a supersonic and sonicjet exhaust at a free-stream mach number of 1.80 .'}
{'docnum': 695, 'title': 'some experiments relating to the problem of simulation of hot jetengines in studies of jet effects on adjacent surfaces at a free-streammach number of 1.80 .'}
{'docnum': 696, 'title': 'pressure loads produced on a flat-plate wing by rocket jets exhaustingin a spanwise direction below the wing and perpendicular to a freestreamflow of mach number 2.0 .'}
{'docnum': 697, 'title': 'effects on adjacent surfaces from the firing of rocket jets .'}
{'docnum': 698, 'title': 'the unsteady lift of a wing of finite aspect ratio .'}
{'docnum': 699, 'title': 'approximate indical lift functions for several wings of finite span inincompressible flow as obtained from oscillatory lift coefficients .'}
{'docnum': 700, 'title': 'two and three-dimensional unsteady lift problems in high speed flight .'}
{'docnum': 701, 'title': 'numerical determination of indical lift of a two-dimensional sinkingairfoil at subsonic mach numbers from oscillatory lift coefficients with calculations for mach number 0.7 .'}
{'docnum': 702, 'title': 'numerical determination of indical lift and moment functions for a twodimensional sinking and pitching airfoil at mach numbers 0.5 and 0.6 .'}
{'docnum': 703, 'title': 'general airfoil theory .'}
{'docnum': 704, 'title': 'a systematic kernel function procedure for determining aerodynamicforces on oscillating or steady finite wings at subsonic speeds .'}
{'docnum': 705, 'title': 'on the kernel function of the integral equation relating the lift anddownwash distributions of oscillating finite wings in subsonic flow .'}
{'docnum': 706, 'title': 'on som reciprocal relations in the theory of nonstationary flows .'}
{'docnum': 707, 'title': 'thermal analysis of stagnation regions with emphasis on heat-sustainingnose shapes at hypersonic speeds .'}
{'docnum': 708, 'title': 'aerodynamic characteristics of two winged reentry vehicles at supersonic and hypersonic speeds .'}
{'docnum': 709, 'title': 'static longitudinal aerodynamic characteristics at transonic speeds andangles of attack up to 99degree of a reentry glider having foldingwingtip panels .'}
{'docnum': 710, 'title': 'the smallest height of roughness capable of affecting boundary-layertransition .'}
{'docnum': 711, 'title': 'an investigation at subsonic speeds of aerodynamic characteristics atangles of attack from -dash 4degrees to 100degrees of a delta-wingreentry configuration having folding wingtip panels .'}
{'docnum': 712, 'title': 'low-speed longitudinal aerodynamic characteristics associated with aseries of low-aspect ratio wings having variations in leading-edgecontour .'}
{'docnum': 713, 'title': 'static longitudinal stability characteristics of a blunted glider reentryconfiguration having 79.5degree sweepback and 45degree dihedral at a mach number of 6.2 and angles of attack up to 20degree .'}
{'docnum': 714, 'title': 'blockage corrections for three-dimensional flow closedthroat wind tunnels, with considerations of the effectof compressibility .'}
{'docnum': 715, 'title': 'motion of a ballistic missile angularly misalignedwith the flight path upon entering the atmosphere andits effect upon aerodynamic heating, aerodynamic loadsand miss distance .'}
{'docnum': 716, 'title': "study of the oscillatory motion of manned vehiclesentering the earth's atmosphere ."}
{'docnum': 717, 'title': 'motions of a short 10degree blunted cone entering a martian atmosphereat arbitrary angles of attack and arbitrary pitching rates .'}
{'docnum': 718, 'title': 'means and examples of aeronautical research in france at onera .'}
{'docnum': 719, 'title': 'tumbling bodies entering the atmosphere .'}
{'docnum': 720, 'title': 'a note on the use of sandwich structures in severe acousticenvironments .'}
{'docnum': 721, 'title': 'near noise field of a jet engine exhaust .'}
{'docnum': 722, 'title': 'random excitation of a tailplane section by jet noise .'}
{'docnum': 723, 'title': 'on the fatigue failure of structures due to vibrations excitedby random pressure fields .'}
{'docnum': 724, 'title': 'structural acoustic proof testing .'}
{'docnum': 725, 'title': 'the response of a typical aircraft structure to jetnoise .'}
{'docnum': 726, 'title': 'on structural fatigue under random loading .'}
{'docnum': 727, 'title': 'a study of the acoustic fatigue characteristics ofsome flat and curved aluminium panels exposed to randomand discrete noise .'}
{'docnum': 728, 'title': 'free vibrations of continuous skin stringer panels .'}
{'docnum': 729, 'title': 'stresses in continuous skin stiffener panels under random loading .'}
{'docnum': 730, 'title': 'on the bending of a clamped plate .'}
{'docnum': 731, 'title': 'upper and lower bounds for the solution of the firstbiharmonic boundary value problem .'}
{'docnum': 732, 'title': 'on the analogues relating flexure and extension offlat plates .'}
{'docnum': 733, 'title': 'the bending of a sectorial plate .'}
{'docnum': 734, 'title': 'the bending of uniformly loaded clamped plate in theform of a circular sector .'}
{'docnum': 735, 'title': 'the bending of uniformly loaded sectorial plates withclamped edges .'}
{'docnum': 736, 'title': 'the bending of a wedge shaped plate .'}
{'docnum': 737, 'title': 'on the analysis of elastic plates of variable thickness .'}
{'docnum': 738, 'title': "finding zero's of arbitrary functions ."}
{'docnum': 739, 'title': 'the buckling of thin cylindrical shells under axialcompression .'}
{'docnum': 740, 'title': 'the behaviour of a cylindrical shell under axial compressionwhen the buckling load has been exceeded .'}
{'docnum': 741, 'title': 'the behaviour of thin cylindrical shells after bucklingunder axial compression .'}
{'docnum': 742, 'title': 'post-buckling behaviour of axially compressed circularcylinder shells .'}
{'docnum': 743, 'title': 'new developments in the nonlinear theories of the buckling of thincylindrical shells .'}
{'docnum': 744, 'title': 'lower buckling load in the non-linear buckling theoryof thin shells .'}
{'docnum': 745, 'title': 'an automatic method for finding the greatest or leastvalue function .'}
{'docnum': 746, 'title': 'aeroelastic problems in connection with high speedflight .'}
{'docnum': 747, 'title': 'bodt freedom flutter of ground launched rocket modelsat supersonic and high subsonic speeds .'}
{'docnum': 748, 'title': 'subsonic aerodynamic flutter derivatives for wings and control surfaces, /compressible and incompressible flow/'}
{'docnum': 749, 'title': 'the aerodynamic effects of aspect ratio and sweepbackon wing flutter .'}
{'docnum': 750, 'title': 'transonic flow in two dimensional and axially symmetricalnozzles .'}
{'docnum': 751, 'title': 'a note on the use of end plates to prevent three dimensionalflow at the ends of bluff cylinders .'}
{'docnum': 752, 'title': 'slender not-so-thin wing theory .'}
{'docnum': 753, 'title': 'development of a quasi-steady approach to flutter andcorrelation with kernel-function results .'}
{'docnum': 754, 'title': 'heat transfer through laminar boundary layers on semiinfinitecylinders of arbitrary cross section .'}
{'docnum': 755, 'title': 'oscillatory derivative measurements on sting-mountedwind tunnel models method of test and results for pitchand yaw on a cambered ogee wing at mach numbers upto 2. 6.'}
{'docnum': 756, 'title': 'further comments on the inversion of large structural matrices .'}
{'docnum': 757, 'title': 'an investigation of the flow about a plane half-wingof cropped delta planform and 6( symmetrical sectionat stream mach numbers between 0. 8 and 1. 41 .'}
{'docnum': 758, 'title': 'the lower bound of attainable sonic-boom over-pressureand design methods of approaching this limit .'}
{'docnum': 759, 'title': 'stability investigation of a blunted cone and a bluntedogive with a flared cylinder afterbody at mach numbersfrom 0. 30 to 2. 85'}
{'docnum': 760, 'title': 'inelastic buckling of initially imperfect cylindricalshells subject to axial compression .'}
{'docnum': 761, 'title': 'buckling of sandwich under normal pressure .'}
{'docnum': 762, 'title': 'allowable axial loads and bending moments for inelastic structuresunder nonuniform temperature distribution .'}
{'docnum': 763, 'title': 'effects of internal pressure on the buckling of circular-cylindricalshells under bending.'}
{'docnum': 764, 'title': 'breathing vibrations of a circular shell with an internalliquid .'}
{'docnum': 765, 'title': 'clamped short oval cylindrical shells under hydrostaticpressure .'}
{'docnum': 766, 'title': 'experimental investigation at mach number of 3. 0 ofeffects of thermal stress and buckling on flutter characteristicsof flat single-bay panels of length-width ratio 0. 96 .'}
{'docnum': 767, 'title': 'mathematical techniques applying to the thermal fatigue behaviourof high temperature alloys .'}
{'docnum': 768, 'title': 'formulae for use with the fatigue load meter in theassessment of wing fatigue life .'}
{'docnum': 769, 'title': 'local circumferential buckling of thin circular cylindricalshells .'}
{'docnum': 770, 'title': 'the flow of a compressible fluid past a sphere .'}
{'docnum': 771, 'title': 'on the flow of a compressible fluid past a sphere .'}
{'docnum': 772, 'title': 'an experimental study of jet-flap compressor blades .'}
{'docnum': 773, 'title': 'q . app . math . 7, 1950, 381 . experiments on porous-wallcooling and flow separation control in a supersonicnozzle .'}
{'docnum': 774, 'title': 'general characteristics of the flow through nozzlesat near critical speeds .'}
{'docnum': 775, 'title': 'studies on two dimensional flows of compressible fluid.'}
{'docnum': 776, 'title': 'force measurements on square and dodecagonal sectionalcylinders at high reynolds numbers .'}
{'docnum': 777, 'title': 'a technique for rendering approximate solutions tophysical problems uniformly valid .'}
{'docnum': 778, 'title': 'an integral related to the radiation integrals .'}
{'docnum': 779, 'title': 'calculation and compilation of the unsteady lift functions for a rigidwing subjected to sinusoidal gusts and to sinusoidal sinking oscillations.'}
{'docnum': 780, 'title': 'the transonic characteristics of 38 cambered rectangularwings of varying aspect ratio and thickness as determinedby transonic-bump technique .'}
{'docnum': 781, 'title': 'use of subsonic kernel function in an influence-coefficient method ofaeroelastic analysis and some comparisons with experiment .'}
{'docnum': 782, 'title': 'calculated subsonic span loads and resulting stability derivatives ofunswept and 45degree sweptback tail surfaces in sideslip and steady roll'}
{'docnum': 783, 'title': 'a method for calculating the subsonic steady-state loading on an airplanewith a wing of arbitrary planform and stiffness .'}
{'docnum': 784, 'title': 'heat transfer through the laminar boundary layer ona circular cylinder in axial incompressible flow .'}
{'docnum': 785, 'title': 'the flow of fluid along cylinders .'}
{'docnum': 786, 'title': 'the skin friction on infinite cylinders moving parallell to their length'}
{'docnum': 787, 'title': "rayleigh's problem for a cylinder of arbitrary shape ."}
{'docnum': 788, 'title': 'an approximate boundary layer theory for semi-infinite cylinders ofarbitrary cross-section .'}
{'docnum': 789, 'title': 'a further note on the calculation of heat transferthrough the axisymmetrical laminar boundary layer ona circular cylinder .'}
{'docnum': 790, 'title': 'a wind-tunnel test technique for measuring the dynamic rotarystability derivatives at subsonic and supersonic speeds .'}
{'docnum': 791, 'title': "measurements at mach numbers up to 2. 8 of the longitudinalcharacteristics of one plane and three cambered slender'ogee' wings ."}
{'docnum': 792, 'title': 'some low speed problems of high speed aircraft .'}
{'docnum': 793, 'title': 'the flow pattern on a tapered sweptback wing at mach numbers between 0.6 and 1.6 .'}
{'docnum': 794, 'title': 'experiments with a tapered swept-back wing of warren 12 planform at mach numbers between 0.6 and 1.6 .'}
{'docnum': 795, 'title': 'the operation of the npl 18in x 14in. wind tunnel in the transonic speed range .'}
{'docnum': 796, 'title': 'an investigation at transonic speeds of the performance of variousdistributed roughness bands used to cause boundary layer transitionnear the leading edge of a cropped delta half-wing .'}
{'docnum': 797, 'title': 'a study of the effect of leading-edge modifications on the flow overa 50degree sweptback wing at transonic speeds .'}
{'docnum': 798, 'title': 'interaction between shock waves and boundary layers, with a note on theeffects of the interaction of the performance of supersonic intakes .'}
{'docnum': 799, 'title': 'some effects of wind-tunnel interference observed in tests on twodimensionalaerofoils at high subsonic and transonic speeds .'}
{'docnum': 800, 'title': 'wall interference at transonic speeds on a hemisphere cylinder model .'}
{'docnum': 801, 'title': 'experimental study of the equivalence of transonicflow about slender cone-cylinders of circular and ellipticcross section .'}
{'docnum': 802, 'title': 'the behaviour of supersonic flow past a body of revolutionfar from the axis .'}
{'docnum': 803, 'title': 'the shock pattern of a wing-body combination far fromthe flight path .'}
{'docnum': 804, 'title': 'a flight test investigation of the sonic boom .'}
{'docnum': 805, 'title': 'ground measurements of the shock wave noise from airplanesin level flight at mach numbers to 1. 4 and at altitudesto 45,000 feet .'}
{'docnum': 806, 'title': 'ground measurements of airplane shock wave noise atmach numbers to 2, and at altitudes of 60,000 feet .'}
{'docnum': 807, 'title': 'ground measurements of the shock wave noise from supersonicbomber airplanes in the altitude range from 30,000to 50,000 feet .'}
{'docnum': 808, 'title': 'an investigation of some aspects of the sonic boomby means of wind tunnel measurements of pressures aboutseveral bodies at a mach number of 2. 01 .'}
{'docnum': 809, 'title': 'an investigation of the influence of lift on sonic-boomintensity by means of wind tunnel measurements of thepressure fields of several wing-body combinations ata mach number of 2. 01 .'}
{'docnum': 810, 'title': 'the shock wave noise problem of supersonic aircraftin steady flight .'}
{'docnum': 811, 'title': 'an investigation of lifting effects on the intensityof sonic booms .'}
{'docnum': 812, 'title': 'investigation of two bluff shapes in axial free flightover a mach number range from 0. 35 to 2. 15 .'}
{'docnum': 813, 'title': 'the motion of rolling symmetrical missiles referredto a body-axis system .'}
{'docnum': 814, 'title': 'stability derivatives of cones at supersonic speeds .'}
{'docnum': 815, 'title': 'investigation of several blunt bodies to determinetrans- onic aerodynamic characteristics including effectsof spinning and of extendible afterbody flaps and somemeasurements of unsteady base pressures .'}
{'docnum': 816, 'title': 'experimental investigation at a mach number of 3. 11of the lift, drag and pitching moment characteristicsof a number of blunt low-fineness-ratio bodies .'}
{'docnum': 817, 'title': 'loading paths and the incremental stress law .'}
{'docnum': 818, 'title': 'a quantitative comparison of flow and deformation theoriesof plasticity .'}
{'docnum': 819, 'title': 'stresses in the plastic range around a normally loadedcircular hole in an infinite sheet .'}
{'docnum': 820, 'title': 'theories of plastic buckling .'}
{'docnum': 821, 'title': 'inelastic column theory .'}
{'docnum': 822, 'title': 'effects of imperfections on buckling of thin cylindersand columns under axial compression .'}
{'docnum': 823, 'title': 'plastic torsional buckling strength of cylinders includingthe effects of imperfections .'}
{'docnum': 824, 'title': 'on the concept of stability of inelastic systems .'}
{'docnum': 825, 'title': 'inelastic instability and incremental theories of plasticity .'}
{'docnum': 826, 'title': 'small bending and stretching of sandwich type shells .'}
{'docnum': 827, 'title': 'a nonlinear theory of bending and buckling of thinelastic shallow spherical shells .'}
{'docnum': 828, 'title': 'stresses and small displacements of shallow sphericalshells .'}
{'docnum': 829, 'title': 'stability of thin-walled tubes under torsion .'}
{'docnum': 830, 'title': 'nonlinear deflections of shallow spherical shells .'}
{'docnum': 831, 'title': 'buckling of shallow shells under external pressure .'}
{'docnum': 832, 'title': 'accelerating convergence of iteration processes .'}
{'docnum': 833, 'title': 'a simple method of matric structural analysis, partiv, non-linear problems .'}
{'docnum': 834, 'title': 'limit design for economical missile structures .'}
{'docnum': 835, 'title': 'the problem of strain accumulation under thermal cycling .'}
{'docnum': 836, 'title': 'analytical and experimental investigation of stress distributions inlong flat plates subjected to lingitudinal loads and transverse temperaturegradients .'}
{'docnum': 837, 'title': 'inelastic behaviour of structures subjected to cyclicthermal and mechanical stressing conditions .'}
{'docnum': 838, 'title': 'bending and compression tests of pressurised ring-stiffenedcylinders .'}
{'docnum': 839, 'title': 'the bending stability of thin-- walled unstiffenedcircular cylinders including the effects of internalpressure .'}
{'docnum': 840, 'title': 'analysis of partly wrinkled membrane .'}
{'docnum': 841, 'title': 'on the bending of circular cylindrical shells underpure bending .'}
{'docnum': 842, 'title': "an improvement on donnell's approximation for thin-walledcircular cylinders ."}
{'docnum': 843, 'title': 'a simplified method of elastic stability analysis forthin cylindrical shells .'}
{'docnum': 844, 'title': 'flexural vibrations of the walls of thin cylindricalshells having freely supported ends .'}
{'docnum': 845, 'title': 'the flexural vibrations of thin cylinders .'}
{'docnum': 846, 'title': 'on the vibration of thin cylindrical shells under internalpressure .'}
{'docnum': 847, 'title': 'experimental study of the vibrations of a circularcylindrical shell .'}
{'docnum': 848, 'title': 'the effect of an internal compressible fluid columnon the breathing vibrations of a thin pressurised cylindricalshell .'}
{'docnum': 849, 'title': 'a theory of imperfection for the vibrations of elastic bodies ofrevolution .'}
{'docnum': 850, 'title': "remarks on donnell's equations ."}
{'docnum': 851, 'title': 'energy expressions and differential equations for stressand displacement analysis of arbitrary cylindricalshells .'}
{'docnum': 852, 'title': 'stress and displacement analysis of simply supportednon- circular cylindrical shell under lateral pressure .'}
{'docnum': 853, 'title': "the accuracy of donnell's equations ."}
{'docnum': 854, 'title': 'boundary-value problems of the thin-walled circularcylinder .'}
{'docnum': 855, 'title': 'simplified formulas for boundary value problems ofthe thin-- walled circular cylinder .'}
{'docnum': 856, 'title': 'some experimental studies of panel flutter at mach1 .3.'}
{'docnum': 857, 'title': 'experimental studies of flutter of buckled rectangularpanels at mach numbers from 1. 2 to 3. 0 includingeffects of pressure differential and of panel width-lengthratio .'}
{'docnum': 858, 'title': 'experimental investigation at mach numbers 3. 0 ofthe effects of thermal stress and buckling on the flutterof four-bay aluminium alloy panels with length-widthratios of 10 .'}
{'docnum': 859, 'title': 'flutter of aerodynamically heated aluminium-alloy andstainless steel panels with length-width ratio of 10at mach 3. 0.'}
{'docnum': 860, 'title': 'test of an aerodynamically heated multi-- web wingstructure (mw-1) in a free jet at mach number 2.'}
{'docnum': 861, 'title': "charts adapted from van driest's turbulent flat-platetheory for determining values of turbulent aerodynamicfriction and heat transfer coefficients ."}
{'docnum': 862, 'title': 'the phenomenon of change in buckle pattern in elasticstructures .'}
{'docnum': 863, 'title': 'loads and deformations of buckled rectangular plates .'}
{'docnum': 864, 'title': 'status of flutter of flat and curved panels .'}
{'docnum': 865, 'title': 'a study of the thermal fatigue behaviour of metals . the effect of test conditions on nickel-base hightemperature alloys .'}
{'docnum': 866, 'title': 'regularities in creep and hot fatigue data .'}
{'docnum': 867, 'title': 'low frequency fatigue of nimonic 90 . low frequencyfatigue - a rheological approach .'}
{'docnum': 868, 'title': 'design and operation of the n. g. t. e.  thermal shockanalogue .'}
{'docnum': 869, 'title': "the calculation of transient temperature in turbineblades and tapered discs using biot's variational method ."}
{'docnum': 870, 'title': 'effect of rheological behaviour on thermal stresses .'}
{'docnum': 871, 'title': 'steady-state creep through dislocation climb .'}
{'docnum': 872, 'title': 'fundamentals of boundary layer heat transfer with streamwisetemperature variations .'}
{'docnum': 873, 'title': 'lagrangian thermodynamics of heat transfer in systemsincluding fluid motion .'}
{'docnum': 874, 'title': 'the use of models for the determination of critical flutter speeds .'}
{'docnum': 875, 'title': 'models for aeroelastic investigation .'}
{'docnum': 876, 'title': 'on flutter testing in high speed wind tunnels .'}
{'docnum': 877, 'title': 'the influence of aerodynamic heating on the flexuralrigidity of a thin wing .'}
{'docnum': 878, 'title': 'experimental model techniques and equipment for flutterinvestigations .'}
{'docnum': 879, 'title': 'flutter model testing at transonic speeds .'}
{'docnum': 880, 'title': 'the design and testing of supersonic flutter models .'}
{'docnum': 881, 'title': 'cumulative damage in fatigue .'}
{'docnum': 882, 'title': 'the variation of gust frequency with gust velocityand altitude .'}
{'docnum': 883, 'title': 'correlated fatigue data for aircraft structural joints .'}
{'docnum': 884, 'title': 'the estimation of fatigue damage on structural elements .'}
{'docnum': 885, 'title': 'buckling of thin cylindrical shells under hoop stressesvarying in axial direction .'}
{'docnum': 886, 'title': 'thermal buckling of clamped cylindrical shells .'}
{'docnum': 887, 'title': 'buckling due to thermal stress of cylindrical shellssubjected to axial temperature distributions .'}
{'docnum': 888, 'title': 'combinations of temperature and axial compression requiredfor buckling of a ring-stiffened cylinder .'}
{'docnum': 889, 'title': 'a simplified method of elastic stability analysis forthin cylindrical shells .'}
{'docnum': 890, 'title': "comments on 'thermal buckling of clamped cylindrical shells' ."}
{'docnum': 891, 'title': 'buckling of a finite length cylindrical shell undera circumferential band of pressure .'}
{'docnum': 892, 'title': 'research on unsteady flow .'}
{'docnum': 893, 'title': 'a new design of pitot-static tube with a discussionof pitot-static tubes and their calibration factors .'}
{'docnum': 894, 'title': 'flutter of a two dimensional simply supported buckledpanel with elastic restraint against edge displacement .'}
{'docnum': 895, 'title': 'the airforces on the low aspect ratio rectangular wingoscillating in sonic flow .'}
{'docnum': 896, 'title': 'the calculation of loads on a supersonic weapon inthe steady circling case .'}
{'docnum': 897, 'title': 'some results on buckling and postbuckling of cylindricalshells .'}
{'docnum': 898, 'title': 'a survey of buckling theory and experiment for circularconical shells of constant thickness .'}
{'docnum': 899, 'title': 'aerodynamic effects on boundary layer unsteadiness .'}
{'docnum': 900, 'title': 'some measurements in the vortex flow generated by asharp leading edge having 65 sweep .'}
{'docnum': 901, 'title': 'long slender delta wings with leading edge separation .'}
{'docnum': 902, 'title': 'some current and proposed investigations into the flowfor slender delta and other wings in unsteady motion .'}
{'docnum': 903, 'title': 'two dimensional transonic unsteady flow with shockwaves .'}
{'docnum': 904, 'title': 'calibration of the standard pitot-static head usedin the rae low speed wind tunnels .'}
{'docnum': 905, 'title': 'comparative tests of pitot-static tubes .'}
{'docnum': 906, 'title': 'review of the pitot tube .'}
{'docnum': 907, 'title': 'cavitation and pressure distributionhead forms at zero angle of yaw .'}
{'docnum': 908, 'title': 'random vibration .'}
{'docnum': 909, 'title': 'the effect of jet noise on aircraft structures .'}
{'docnum': 910, 'title': 'natural frequencies of continuous beams of uniformspan length .'}
{'docnum': 911, 'title': 'experimental study of the random vibrations of an aircraftstructure excited by jet noise .'}
{'docnum': 912, 'title': 'the axisymmetric free-convection temperature fieldalong a vertical thin cylinder .'}
{'docnum': 913, 'title': 'vibrations of beams on many supports .'}
{'docnum': 914, 'title': 'transtability flutter of supersonic aircraft panels .'}
{'docnum': 915, 'title': 'a buckled plate in a supersonic stream .'}
{'docnum': 916, 'title': 'the flow around oscillating low aspect ratio wings at transonicspeeds .'}
{'docnum': 917, 'title': 'a method of calculating the short period longitudinalstability derivatives of a wing in linearised unsteadycompressible flow .'}
{'docnum': 918, 'title': 'on the low aspect ratio oscillating rectangular wingin supersonic flow .'}
{'docnum': 919, 'title': 'theoretical studies of unsteady transonic flow . part iii . the oscillatinglow aspect ratio rectangular wing .'}
{'docnum': 920, 'title': 'supersonic flow over an inclined wing of zero aspect ratio .'}
{'docnum': 921, 'title': 'slender-body theory-review and extension .'}
{'docnum': 922, 'title': 'supersonic flow past slender bodies of revolution,slope of whose median section is discontinuous .'}
{'docnum': 923, 'title': 'methods for estimating lift interference of wing-bodycombinations at supersonic speeds .'}
{'docnum': 924, 'title': 'a method for calculating the lift and centre of pressureof wing-body-tail combinations at subsonic, transonicspeeds .'}
{'docnum': 925, 'title': 'factors affecting loads at hypersonic speeds .'}
{'docnum': 926, 'title': 'post buckling behaviour of circular cylinderical shellsunder hydrostatic pressure .'}
{'docnum': 927, 'title': 'investigation of normal force distributions and wakevortex characteristics of bodies of revolution at supersonicspeeds .'}
{'docnum': 928, 'title': 'a new theory for the buckling of thin cylinders underaxial compression and bending .'}
{'docnum': 929, 'title': 'stability of the cylindrical shell of variable curvature .'}
{'docnum': 930, 'title': 'general theory of large deflections of thin shellswith special applications to conical shells .'}
